ID;TOTAL_NF_ENTRADA;IDADE;SXE;SXA;FUZZYNUMBER;FUZZYLABEL
5284266e046473ee551a3a30f33eaa74d9a2ac7115b78d9fbab070c7d4d1cbae;12700;22,4;0,049;0,006;0,795833333;Muito Provável
ea4cb3afefaa7dacb62d4ff76d3e85275e9ce50864435d94ad75297dc40355ce;28384;163,11;0,024;0;0,805555556;Muito Provável
c9d4f16d721b967bd898ee8796b5abc17a2d3831bfb0451978924bf1a9bc8d2f;348;233,18;0,002;0;0,833333333;Muito Provável
f073e5788469d68cd23dca255c81bb1441b5300836489303bcc10eb4b6a4ce71;166802,5;84,66;0,407;0;0,766147932;Muito Provável
3683ac689e80766f1f52531a450bf99bc0c4ebc556f100b98adb77efcc4d3d04;3349;23,98;0,022;0;0,833333333;Muito Provável
d1fbefe513b31911de1080c6126eead6ef16e9ea7d4a1ddc869d080d79ddd44f;11770,4;45,63;0,128;0;0,833164813;Muito Provável
26cbe1871f43d437ee323a30b0c1dbd907bf5ee2dbdd83d5375622d4b3d39171;51366;40,95;0,468;0;0,801130268;Muito Provável
37704f3961f2083e77203aa9d0768bdb6d3044964e4867a67f35d6470188316c;66013,69;117,89;0,101;0;0,807387387;Muito Provável
ce60ca6c5a4e2a874479f5965900b8eff4f7634827ce0cbb8fe313af473a0be6;31173,02;94,73;0,407;0;0,766147932;Muito Provável
5f03830e6c4c6f8f1e01e34de1a36e93438a3f34e6baa0cbe4bf86b6b519b2bc;89800;5,05;0,638;0,003;0,810925926;Muito Provável
760de507210af7fbed68bd54594d857407a7f28b38023807aaf3a58c4f0930b7;12969,81;11,76;0,027;0,016;0,777718381;Muito Provável
8b8d8adbc7375257bb53b0940616f2a20e68912d0dfae1ace743c98b0414607d;102187,8;13,47;0,014;0;0,833333333;Muito Provável
367ff6dff13f332c268bfe88b5110af7cbfd99c8567bae501bccc27898a3c9c8;18967,04;74,34;0,029;0;0,833333333;Muito Provável
fed2cc834efabc696157b0d2f787ea938a7958008722dbe3b1904eccb0e48724;2950;33,92;0,014;0,001;0,831818182;Muito Provável
5198f2f33ba84633e555167efb20e0b980d3be496764c4feb8a49d6f8bf45a7f;3255,06;207,21;0,009;0,142;0,858366988;Pouco Provável
4cd090dcc9d5523232a8c7d6a75a5d22bf856deccf2ba5ad8a112d7a7303aa3c;18960;89,57;0,182;0,002;0,827777778;Muito Provável
590fa7d47de0221dea2739c25d971c365a0d9f655aee8092553f3f1632de6939;557,19;2,98;0,003;0,009;0,762280702;Muito Provável
2b4941fa7b44e017237ebf1da3668242124587ecc6aa53d00f175b1b87c7b181;2077,03;49,76;0,015;0,04;0,8325173;Muito Provável
d3f14e288ab9eb17fb7ab030b65c73db4ea47830499cf284439ae6fc8c822d94;136000;4,82;0,88;0,002;0,827777778;Muito Provável
acd0f3cf3431c92fe784740f442c53ae0ef5e405a545c90a75888b59003981c9;31503,45;11,92;0,27;0,004;0,810392799;Muito Provável
eacf75b9b17b28abfef429a475333209ac595a07202c925200e06c6c31115750;2013,55;23,69;0,013;0,002;0,827777778;Muito Provável
922e9a7d39504628d57f2dd1b8c404090192b5243c3b06d292d68fdc46f441ce;1019,82;204,98;0,005;0,035;0,493192806;Provável
958cd28bf150b645dabdbae123406bc706891fe10fc6d40b3226bf4ff5667e2d;8936,01;6,95;0,004;0,05;0,823593074;Muito Provável
bb80ce5fbe8030028dc0b9822301066236c52af0f5da8459e807d53683ac2aed;15600;104,24;0,161;0,009;0,548565647;Muito Provável
4463f599d0f81b3a496614aee8280f5fa36db80896fd8efaa8ee0800eb4d3a6c;101770,03;14,24;0,69;0;0,807387387;Muito Provável
