ID;SITUACAO
df1dbd3362bc2ae43350bc4dc70256d19b3bdf7f09ae4a9fee419311fec40ed3;IP
08fb9fcc7ac451386abbe874ba79017af800b04764b4dc4f4b4d02a28a9f5c27;CA
ccee9ca28066d882ba38936e9fedc53f95ec15e646e5ae0cddbf094f0e424643;IP
6fd869f74cf11f4da0026304d38cd95dce41e7ebe36660642ba16e94cec5f132;CA
0b5e96f50e81f2024cf6d9a65c73c6d2bb0d678fa3ec5be732cbcb0f9d8cdc5d;CA
0f54e565bd5acdaa6e105462b7a4773ebd48dd92ae59742843116ff7e538bdd7;IP
c95b970179defac2ef70db2bb50d58a4d9de70b92f5544b0fa06f3a5fa40d593;IP
427e6d0fd4787d15670067c784b1fc6354ba2b6ba1be359b87f788d59bfc6f97;CA
798b77fe6473cc9e6ef630be363f018a87741e4d7a55236e3500095a7f396a02;CA
dc708e7a79a88ad9e4b47eed362a55a3ac440448a2a6f9e4e2282a8fdb171bc7;CA
d5b4b54b6d54ffcf1914d28338763eaf25d3854c9bc66c70e6afe0d3c4caf7b1;CA
167a8e3d63d1742cee19101c28eb743a5e07e99c26923a08d200a49f51910a4a;IP
db734f968ae94a5495af5863bb651a2c3f9692234d20a89d4f130dcd89b6e577;IP
46a94cb88ac0c45203038514df915233b7cf4ff2c161b4cca11d0102bf8eddec;IP
02720c2cf75c4bc9c58ebaadac3fd9f38e00776b96b3d433b16075c4d6fef96a;CA
8caededdfdda1ce1393f529926fe35f24fe4f6947d8c639ded12bd2e9132a2a5;IP
8a8ae28d7dde2a5cbd132f2e9eb54f987b5b1beff5421c1a63520a12975351d0;CA
8503a6f173e5cd31de91877c19912b1ce64f56586cd0d6eaab0e14b07cda2b18;CA
572df70836595bd15d8507e1f0ff96920a4a6301123b8aa1e6ab7e0d0e1150b9;CA
c2d6489eac7e14222f2df4bfca7d3f0ce1c38390e06fc498ea43766bc1052f83;CA
b6c9ed831caffbae2f1b37526ac90df512b4c29a05016cceda218b603bff2cf3;IP
6484a6ed432090f3c7cf763385422762405a030b0020e48da0785f1dd24dcb85;CA
40e6050c73e9d1af8a96dbfc5580d589690ce52c955db3eb93ae4f218cc6f1ff;IP
c9c83727b9b014bdea64497edbd2199a4031ce933af1cbc8e9833158205d798d;IP
9998db48f9c5f033cf929d6871e4f96ee009130542e40b0e33c407c545c084d1;IP
a97cc63b6d52cf1d6fe0c66644dbe385c541ded0387a6b0d7687fd7a6b2f7211;CA
efbd0d0f303e124944e639b13e53d042150c6b07fba14c2a69a1096e6a5a0deb;CA
a3c0b6dc4950767d39b47212bfa66ff2685a5a30a2864a61bb52b1e5c9236011;IP
136b63415243b5cc562204ca91d7fb2351e09642bafcb292112ebe47fd281054;CA
24ba422bdfd9a05c3dd8b958d66ed8b03fd5fc69205d97dfb628c368f699c862;CA
